PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;12;05;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00001;N;00002;V;00004;V;00001;V;00001;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2020;12;05;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;000.6;N;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2020;12;05;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00969;N;00021;V;00009;V;00014;V;00009;V;00007;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2020;12;05;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00106;N;00033;V;00019;V;00021;V;00017;V;00015;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2020;12;05;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;01078;N;00065;V;00033;V;00044;V;00031;V;00026;V;00014;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2020;12;05;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2020;12;05;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2020;12;05;00007;V;00003;V;00002;V;00002;V;00002;V;00002;V;00004;V;00006;V;00006;V;00013;V;00013;V;00013;V;00014;V;00012;V;00011;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2020;12;05;00033;V;00019;V;00014;V;00013;V;00012;V;00012;V;00020;V;00030;V;00030;V;00036;V;00032;V;00031;V;00030;V;00028;V;00026;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2020;12;05;00005;V;00006;V;00003;V;00002;V;00002;V;00001;V;00001;V;00001;V;00005;V;00003;V;00003;V;00002;V;00003;V;00005;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2020;12;05;00004;V;00008;V;00004;V;00003;V;00004;V;00001;V;00002;V;00004;V;00007;V;00007;V;00007;V;00006;V;00006;V;00010;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2020;12;05;00043;V;00023;V;00018;V;00017;V;00015;V;00014;V;00026;V;00038;V;00040;V;00056;V;00052;V;00051;V;00052;V;00046;V;00043;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2020;12;05;41.84;V;49.86;V;53.49;V;52.40;V;52.84;V;53.84;V;46.39;V;39.47;V;40.94;V;36.45;V;41.56;V;47.06;V;49.80;V;52.60;V;52.07;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2020;12;05;001.9;V;001.6;V;000.8;V;000.6;V;001.1;V;000.6;V;000.5;V;000.7;V;000.7;V;000.7;V;001.0;V;001.0;V;001.3;V;001.3;V;001.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2020;12;05;000.7;V;000.5;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2020;12;05;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2020;12;05;01.40;V;01.39;V;01.38;V;01.38;V;01.37;V;01.37;V;01.37;V;01.38;V;01.38;V;01.39;V;01.39;V;01.39;V;01.39;V;01.38;V;01.38;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2020;12;05;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.27;V;01.27;V;01.27;V;01.27;V;01.26;V;01.26;V;01.26;V;01.26;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2020;12;05;00.14;V;00.13;V;00.12;V;00.12;V;00.11;V;00.11;V;00.11;V;00.11;V;00.11;V;00.12;V;00.12;V;00.13;V;00.13;V;00.13;V;00.13;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2020;12;05;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00013;V;00018;V;00016;V;00013;V;00016;V;00015;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2020;12;05;00017;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00012;V;00034;V;00040;V;00032;V;00027;V;00031;V;00027;V;00021;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2020;12;05;00022;V;00010;V;00009;V;00010;V;00009;V;00009;V;00010;V;00016;V;00055;V;00067;V;00056;V;00048;V;00056;V;00050;V;00034;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2020;12;05;001.1;V;000.7;V;000.6;V;000.4;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;V;001.3;V;002.4;V;002.5;V;001.3;V;001.1;V;001.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2020;12;05;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2020;12;05;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2020;12;05;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00006;V;00007;V;00006;V;00006;V;00006;V;00005;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2020;12;05;00015;V;00007;V;00006;V;00006;V;00007;V;00007;V;00011;V;00012;V;00020;V;00029;V;00021;V;00017;V;00015;V;00016;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2020;12;05;00017;V;00008;V;00008;V;00007;V;00008;V;00008;V;00013;V;00015;V;00024;V;00039;V;00031;V;00026;V;00023;V;00025;V;00025;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;16;14;28079016_14_6;2020;12;05;71.98;V;79.20;V;78.16;V;77.44;V;74.68;V;75.27;V;71.82;V;70.58;V;62.89;V;50.53;V;61.10;V;70.77;V;74.70;V;75.25;V;70.67;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;1;28079017_1_38;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2020;12;05;00003;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00007;V;00014;V;00009;V;00010;V;00015;V;00013;V;00015;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2020;12;05;00017;V;00011;V;00006;V;00007;V;00007;V;00010;V;00019;V;00028;V;00037;V;00029;V;00023;V;00023;V;00024;V;00024;V;00022;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2020;12;05;00022;V;00013;V;00008;V;00009;V;00009;V;00014;V;00027;V;00039;V;00059;V;00043;V;00039;V;00046;V;00043;V;00048;V;00042;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2020;12;05;48.23;V;51.23;V;55.91;V;51.98;V;52.90;V;51.19;V;43.82;V;35.93;V;28.90;V;35.35;V;43.64;V;47.96;V;48.95;V;49.01;V;48.65;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2020;12;05;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;6;28079018_6_48;2020;12;05;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;7;28079018_7_8;2020;12;05;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00002;V;00003;V;00005;V;00004;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;8;28079018_8_8;2020;12;05;00015;V;00009;V;00007;V;00004;V;00004;V;00005;V;00009;V;00020;V;00016;V;00017;V;00015;V;00012;V;00012;V;00015;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;10;28079018_10_47;2020;12;05;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00005;V;00006;V;00006;V;00007;V;00007;V;00006;V;00005;V;00006;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;12;28079018_12_8;2020;12;05;00018;V;00011;V;00008;V;00005;V;00006;V;00006;V;00011;V;00025;V;00019;V;00022;V;00023;V;00017;V;00018;V;00021;V;00023;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;14;28079018_14_6;2020;12;05;55.29;V;59.80;V;60.55;V;62.18;V;61.34;V;61.39;V;57.73;V;50.84;V;51.89;V;49.99;V;53.77;V;58.76;V;60.93;V;58.96;V;55.48;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;20;28079018_20_59;2020;12;05;000.7;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.6;V;000.2;V;000.3;V;000.8;V;000.6;V;000.7;V;000.7;V;000.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;30;28079018_30_59;2020;12;05;000.3;V;000.2;V;000.1;V;000.5;V;000.2;V;000.2;V;000.2;V;000.3;V;000.1;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;35;28079018_35_59;2020;12;05;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;1;28079024_1_38;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;6;28079024_6_48;2020;12;05;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;7;28079024_7_8;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;8;28079024_8_8;2020;12;05;00007;V;00004;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00004;V;00004;V;00004;V;00002;V;00002;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;9;28079024_9_47;2020;12;05;00002;V;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00001;V;00001;V;00002;V;00001;V;00001;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;10;28079024_10_47;2020;12;05;00003;V;00005;V;00004;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00001;V;00001;V;00002;V;00001;V;00003;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2020;12;05;00008;V;00006;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00006;V;00005;V;00005;V;00003;V;00003;V;00003;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2020;12;05;58.14;V;58.89;V;62.13;V;62.19;V;61.14;V;61.33;V;60.64;V;61.73;V;58.47;V;57.40;V;60.84;V;65.55;V;67.21;V;67.64;V;65.00;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2020;12;05;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2020;12;05;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2020;12;05;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2020;12;05;01.14;V;01.14;V;01.14;V;01.13;V;01.14;V;01.14;V;01.14;V;01.14;V;01.14;V;01.14;V;01.14;V;01.13;V;01.14;V;01.14;V;01.14;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2020;12;05;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00.97;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2020;12;05;00.17;V;00.17;V;00.17;V;00.16;V;00.17;V;00.17;V;00.17;V;00.17;V;00.17;V;00.17;V;00.17;V;00.16;V;00.17;V;00.17;V;00.17;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00002;V;00002;V;00003;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2020;12;05;00009;V;00006;V;00004;V;00003;V;00006;V;00006;V;00007;V;00008;V;00010;V;00012;V;00014;V;00007;V;00008;V;00011;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2020;12;05;00010;V;00007;V;00006;V;00005;V;00007;V;00008;V;00009;V;00009;V;00011;V;00015;V;00019;V;00010;V;00012;V;00015;V;00018;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2020;12;05;63.14;V;64.64;V;64.62;V;66.90;V;62.08;V;62.07;V;61.71;V;60.85;V;58.20;V;57.52;V;56.35;V;65.82;V;66.03;V;64.80;V;62.16;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2020;12;05;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2020;12;05;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00002;V;00004;V;00002;V;00005;V;00003;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2020;12;05;00019;V;00018;V;00009;V;00010;V;00007;V;00007;V;00014;V;00017;V;00020;V;00022;V;00016;V;00016;V;00012;V;00010;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2020;12;05;00020;V;00019;V;00011;V;00012;V;00008;V;00009;V;00017;V;00019;V;00023;V;00029;V;00019;V;00023;V;00017;V;00013;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2020;12;05;49.35;V;48.96;V;55.67;V;53.11;V;55.48;V;54.91;V;49.41;V;47.27;V;46.20;V;42.94;V;50.12;V;54.54;V;59.24;V;62.22;V;57.12;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2020;12;05;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2020;12;05;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2020;12;05;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00006;V;00006;V;00007;V;00008;V;00009;V;00006;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2020;12;05;00014;V;00008;V;00007;V;00006;V;00006;V;00005;V;00013;V;00017;V;00024;V;00025;V;00022;V;00017;V;00022;V;00023;V;00023;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2020;12;05;00008;V;00006;V;00007;V;00005;V;00002;V;00002;V;00003;V;00006;V;00007;V;00008;V;00008;V;00010;V;00013;V;00004;V;00007;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2020;12;05;00016;V;00010;V;00008;V;00007;V;00007;V;00007;V;00015;V;00020;V;00032;V;00034;V;00031;V;00027;V;00035;V;00036;V;00032;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
